"","Wheat15A","Wheat15B","Wheat15C","Wheat1A","Wheat1B","Wheat1C","Wheat20A","Wheat20B","Wheat20C","Wheat23A","Wheat23B","Wheat23C","Wheat27A","Wheat27B","Wheat27C","Wheat2A","Wheat2B","Wheat2C","Wheat31A","Wheat31B","Wheat31C","Wheat3A","Wheat3B","Wheat3C","Wheat4A","Wheat4B","Wheat4C"
"Bacteria|Gammaproteobacteria|Proteobacteria",0.991111111111111,0.982222222222222,0.708888888888889,0.982222222222222,0.924444444444444,0.791111111111111,0.908888888888889,0.364444444444444,0.673333333333333,0.0577777777777778,0.926666666666667,0.995555555555556,0.933333333333333,0.608888888888889,0.642222222222222,0.895555555555556,0.195555555555556,0.444444444444444,0.111111111111111,0.422222222222222,0.435555555555556,0.642222222222222,0.9,0.406666666666667,0.493333333333333,0.491111111111111,0.904444444444444
"Bacteria|Alphaproteobacteria|Proteobacteria",0.00222222222222222,0.00222222222222222,0.0577777777777778,0.00222222222222222,0.0111111111111111,0.02,0.0644444444444444,0.386666666666667,0.0266666666666667,0.873333333333333,0.00888888888888889,0.00222222222222222,0.0333333333333333,0.162222222222222,0.00444444444444444,0.06,0,0.115555555555556,0.844444444444444,0.00888888888888889,0.393333333333333,0.32,0.04,0,0.415555555555556,0.346666666666667,0.00444444444444444
"Bacteria|Actinobacteria|Actinobacteria",0.00444444444444444,0.00888888888888889,0.0444444444444444,0.0111111111111111,0.0133333333333333,0.0511111111111111,0.0177777777777778,0.12,0.144444444444444,0.0111111111111111,0.0177777777777778,0.00222222222222222,0.00666666666666667,0.0111111111111111,0.0444444444444444,0.0177777777777778,0.782222222222222,0.406666666666667,0.00666666666666667,0.555555555555556,0.0222222222222222,0.00222222222222222,0.0111111111111111,0.571111111111111,0.0355555555555556,0.0511111111111111,0.0488888888888889
"Bacteria|Bacilli|Firmicutes",0.00222222222222222,0.00666666666666667,0.188888888888889,0.00444444444444444,0.0511111111111111,0.137777777777778,0.00888888888888889,0.128888888888889,0.155555555555556,0.0577777777777778,0.0466666666666667,0,0.0266666666666667,0.217777777777778,0.308888888888889,0.0266666666666667,0.0222222222222222,0.0177777777777778,0.0377777777777778,0.0133333333333333,0.148888888888889,0.0355555555555556,0.0488888888888889,0.0222222222222222,0.0555555555555556,0.111111111111111,0.0422222222222222
"Bacteria|NA|NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155555555555556,0,0,0,0,0,0,0,0,0
